name,description,effect,slot,stamina_cost,bonus,group,location,dlc
Ekzykes's Decay,"Superior incantation of Dragon Communion.Channels the power of Ekzykes, the Decaying. Transforms caster into a dragon to spew scarlet rot breath from above.Charging extends duration. This incantation can be cast while jumping. Ekzykes, Dragon Communion Revenger, did not forget his hatred even as he succumbed to the scarlet rot. NOTE",Spews scarlet rot breath of Ekzykes from above,1,60,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion for 2 Dragon Hearts.,0
Elden Stars,"This legendary incantation is the most ancient of those that derive from the Erdtree. Creates a stream of golden shooting stars that assail the area. It is said that long ago, the Greater Will sent a golden star bearing a beast into the Lands Between, which would later become the Elden Ring. NOTE:",Creates a steam of golden shooting stars that assail the area.,2,48,Erdtree,Damage,"From the Great Waterfall Crest until you find a pack of Giant Ants. Follow the roots and head inside the cave, you'll find Elden Stars inside.",0
Electrify Armament,"One of the incantations of the capital's ancient dragon cult. Enchants armament held in the right hand with lightning-affinity attacks. Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe an event that gave rise to the ancient dragon cult in the capital.",Enchants right-hand armament with lightning damage,1,10,Dragon Cult,Buff,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Dragon Cult Prayerbook for 4,000 Runes.",0
Erdtree Heal,One of the ancient Erdtree incantations. Heals a vast amount of HP for the caster and nearby allies. Hold to continue praying and delay activation. The Erdtree once flourished with abundance - yet it was only for a fleeting moment. Such is the course of all life.,Vastly heals HP for self and nearby allies,1,50,Erdtree,Healing,"Can be found in Queen's Bedchamber in Leyndell, Ashen Capital",0
Fire's Deadly Sin,"Incantation originating from a deeply ominous prophecy. Sets both the caster and the surrounding area ablaze with raging flames. The caster's body will remain engulfed in flame for a while, burning them and any who draw near. Charging enhances potency. The prophet despaired, looking up at the Erdtree, for soon the kindling would burst into flame, bringing ruin. ""The burning of the Erdtree is the first cardinal sin. That is not the domain of mere men.""",Sets area and self ablaze with raging flames,1,28,No,Damage,"Reward from completing the ""Flightless Bird"" painting puzzle.",0
Flame Fortification,"Incantation of the Two Fingers' faithful. Increases fire damage negation. This incantation can be cast while in motion. Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me the Lands Between offers no welcome to the Tarnished.",Increases fire damage negation,1,13,Two Fingers,Buff,"Purchase from Brother Corhyn for 3,000 Runes.",0
Flame Sling,Incantiation originating from a sinister prophecy. Throws a ball of raging fire. Charging enhances potency and causes the ball of fire to explode. The flame of ruin is anathema to the Erdtree. But prophets sometimes glimpse it within the faith all the same. Sadly when this occurs their sole reward is banishment. Note:,Throws balls of raging fire,1,22,Fire Monk,Damage,Sold by Brother Corhyn at the Roundtable Hold for 800 Runes.,0
Flame of the Fell God,"This legendary incantation is one of several that draws directlyfrom the power of the Fire Giants.Releases a ball of raging fire said to be inhabited by a fell god. Thefireball floats toward enemies and explodes, setting the areaablaze.Arghanthy, the chief guardian of the Flame, had kept this incantation a well-kept secret until it was stolen by Adan. The fell god still lurks within the Fire Giants. Note:",Summons raging fireball that explodes and sets the area ablaze,2,42,Fire Giant,Damage,"Liurnia of the Lakes: Dropped by Adan, Thief of Fire upon defeat. [Map Link]",0
"Flame, Cleanse Me",One of the incantations of the Fire Monks.Creates a fire within that burns away toxins.Alleviates poison and scarlet rot buildup and cures these ailments.This incantation leaves the caster with subtle burns - a reminderthat they must fear the flame.,Alleviates buildup and cures both poison and scarlet rot,1,10,Fire Monk,Healing,Held by one of the corpses at the Fire Monk camp.,0
"Flame, Fall Upon Them",One of the incantations that draws directly from the power of the Fire Giants. Hurls several balls of fire at once. Charging enhances potency and causes the balls offire to explode. There is no record of this incantation in common prayerbooks. Only a select few prelates know of its existence. Notes:,Hurls several balls of fire at once,1,40,Fire Giant,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving them the Giant's Prayerbook for 10,000 Runes.",0
"Flame, Grant me Strength","Superior incantation of the Fire Monks. Creates an invigorating fire within that enhances physical and fire-affinity attack power. This incantation does not burn the caster, and so it is considered forbidden by the guardians of the Flame.",Raises physical and fire-affinity attack power,1,16,Fire Monk,Buff,"Found behind Fort Gael, on a body between two flame carts",0
"Flame, Protect Me","The most ancient of the Fire Monks' incantations. Creates a fire within that greatly increases fire damage negation. It is said that this incantation was used during the War against the Giants long ago, during which it protected the champions of the Erdtree.",Greatly increases fire damage negation,1,20,Fire Monk,Buff,Found Behind the double Stone-Key fog door in Giant-Conquering Hero's Grave,0
Fortissax's Lightning Spear,"Incantation that channels the power of the ancient dragon Fortissax. creates two spears of red lightning and stabs them into the ground from above, one after another. On impact, each spear will burst into trails of lightning covering the area. During the War of the Anicent Dragons, these twin red lightning stakes were the hallmark of the ancient dragon who was once called the mightiest boulderstone. Notes:",Stabs from above with two red lightning spears in tandem,1,52,Dragon Cult,Damage,Trade Remembrance of the Lichdragon with Enia at Roundtable Hold.,0
Frenzied Burst,"Incantations originating from the maddening Three Fingers. Releases concentrated blasts of the yellow flame of frenzy from the caster's eyes. Charging enhances potency, enabling the blasts to penetrate the enemy's guard. In times past, every single person who attempted to control the flame of frenzy succumbed to madness after a desperate internal struggle. This incantation is testament to a meager victory. Note:",Emits concentrated blast of yellow flame of frenzy from eyes,1,33,Frenzied Flame,Damage,Dropped by a Teardrop Scarab in the Liurnia of the Lakes region. [Map Link],0
Frozen Lightning Spear,"Incantation that channels the power of the Dragonkin Soldiers.Creates a spear of ice lightning and stabs it into the ground fromabove. On impact, the spear will burst into trails of lightning advancing forwards.The Dragonkin were born in the Eternal City, where they knewno true sky, nor true lightning. Instead, ice lightning was theirweapon. Note:",Stabs with ice lightning spear from above,1,45,Dragon Cult,Damage,Dropped by Dragonkin Soldier of Nokstella,0
Giantsflame Take Thee,One of the incantations that draws directly from the power of the Fire Giants. Hurls a massive ball of raging fire. Charging enhances potency and causes the ball of fire to explode. There is no record of this incantation in common prayerbooks. Only a select few prelates know of its existence. NOTE:,Hurls massive ball of raging fire,2,43,Fire Giant,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving them the Giant's Prayerbook for 13,000 Runes.",0
Glintstone Breath,One of the incantations of Dragon Communion. Transforms caster into a dragon to spew magic breath.Charging extends duration. Those extraordinary individuals who perpetuate DragonCommunion are called the dragon-hearted.,Channels dragon to spew magic breath,1,40,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion for 1 Dragon Heart,0
Golden Lightning Fortification,"An incantation of Erdtree Worship. Greatly increases lightning damage negation for the caster and nearby allies. Hold to continue praying, delaying the effect. This incantation was used by the knights of the Erdtree during the assault by the great ancient dragon Gransax, and the bitter War of the Ancient Dragons that followed.",Greatly increases lightning damage negation for self and allies,1,20,Erdtree,Buff,Crumbling Farum Azula: Dropped by a Teardrop Scarab found by the cliffs south of the fountain plaza. This area is located in the upper level after ascending the Dragon Temple Lift.,0
Golden Vow,"An incantation of Erdtree Worship. Increases attack power and defense for the caster and nearby allies. Hold to continue praying and delay activation. This incantation has been taught to knights of the royal capital for generations, and knights sent on distant expeditions lean on it as a source of courage.",Increases attack and defense for self and allies,1,50,Erdtree,Buff,"Corpse-Stench Shack, in Mt Gelmir",0
Great Heal,"Superior incantation of the Two Fingers' faithful. Greatly heals HP for the caster and nearby allies. Hold to continue praying and delay activation. The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",Greatly Heals HP for self and nearby allies,1,40,Two Fingers,Healing,"Sold by Brother Corhyn for 9,000 Runes after he moves to Altus Plateau.",0
Greyoll's Roar,"Superior incantation of Dragon Communion.Channels the power of Greyoll, the Elder Dragon.An incantation of legendary status. Transforms caster into a dragon to emit a terrible roar, reducing the attack power and defense of nearby enemies. Greyoll was the mother of all dragons, dwarfing all who stood before her like a looming mountain.",Emits the roar of Elder Dragon Greyoll,2,80,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion for Dragon Heart. You need to defeat Greyoll in order to unlock this Incantation.,0
Gurranq's Beast Claw,"Superior incantation taught by Gurranq, the Beast Clergyman. Creates beast claws that rend surroundings with shockwaves. Long ago, Gurranq was a beast of such terrifying ferocity that his former name meant ""Death of the Demigods."" Notes:",Creates beast claws to rend surroundings with shockwaves,1,42,Bestial,Damage,"Bestial Sanctum: Reward from Gurranq, Beast Clergyman after giving him the eighth Deathroot.",0
Heal,"Incantation of the Two Fingers' faithful. Heals HP for the caster and nearby allies.Hold to continue praying and delay activation. The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",Heals HP for you and nearby allies.,1,35,Two Fingers,Healing,"Starting equipment for the Prophet ClassPurchase from Brother Corhyn at Roundtable Hold for 1,500 Runes.",0
Honed Bolt,"One of the incantations of the capital's ancient dragon cult. Summons a bolt of lightning to strike foes from above.This incantation can be cast repeatedly. Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe an event that gave rise to the ancient dragon cult in the capital.",Strikes foe with lightning bolt from above,1,29,Dragon Cult,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Dragon Cult Prayerbook for 7,000 Runes.",0
Howl of Shabriri,"Incantation originating from the maddening Three Fingers. Releases a maddening shriek that causes madness buildup in foes nearby. This incantation also causes madness buildup in the caster and makes enemies more likely to target them. It is said that the sickness of the flame of frenzy began with Shabriri, the most reviled man in all history.","Shrieks, building up madness in nearby foes",1,38,Frenzied Flame,Damage,A stone tower named Frenzy-Flaming Tower between the Great Lift of Dectus and the Frenzied Flame Village. [Map Link],0
Immutable Shield,"One of the incantations of the Golden Order fundamentalists. Enchants shield held in the left hand with the light of regression, increasing all forms of non-physical damage negation and ailment resistance. Two concepts form the basis for Golden Order fundamentalism. One is the law of regression, to which this incantation relates.",Increases left-hand shield's affinity/ailment resistance,1,10,Golden Order,Buff,"Purchasable from Brother Corhyn as part of his quest to the west of the Erdtree Sanctuary at the Colosseum overlooking Leyndell for 13,000 Runes.",0
Inescapable Frenzy,"Incantation originating from the maddening Three Fingers. Causes the yellow flame of frenzy to blaze from the caster's eyes. The caster then latches onto foes, spreading the madness. This incantation also causes buildup of madness in the caster, and is only effective against Tarnished. To gaze into one another's eyes is truly the most intimate form of human contact. Note: Note: Note:",Latches onto foes to spread madness,1,31,Frenzied Flame,Damage,"Located in Subterranean Shunning-Grounds at Cathedral of the Forsaken Site of Grace just after Mohg, the Omen boss fight; behind the altar in the boss is a hidden path. At the end of the hidden path are a series of drops, and Inescapable Frenzy is towards the very bottom path.",0
Lansseax's Glaive,Incantation that channels the power of the ancient dragon Lansseax. Creates a red-lightning glaive and sweeps the area from above.This attack unleashes trails of lightning. Lansseax was the sister of Fortissax. It is said that she took the form of a human to commune with the knights as a priestess of the ancient dragon cult. Note:,Sweeps from above with red lightning glaive,1,55,Dragon Cult,Damage,Dropped by Ancient Dragon Lansseax,0
Law of Causality,One of the incantations of the Golden Order fundamentalists. One of the key fundamentals. Manifests a small ring of causality within that allows the caster to automatically retaliate upon receiving a certain number of blows. The fundamentalists describe the Golden Order through the powers of regression and causality. Causality is the pull between meanings; that which links all things in a chain of relation . NOTE:,Retaliates upon receiving a number of blows,1,20,Golden Order,Buff,"Given by Gideon Ofnir after beating Mohg, Lord of Blood and asking about the cocoon in the boss arena.Purchasable at Twin Maiden Husks after defeating Maliketh, the Black Blade.",0
Law of Regression,"Incantation of the Golden Order fundamentalists.One of the key fundamentals. Heals all negative statuses, dispels special effects, and reveals mimicry in all its forms. The fundamentalists describe the Golden Order through the powers of regression and causality. Regression is the pull of meaning; that all things yearn eternally to converge. ,",Heals all ailments and dispels all special effects,1,50,Golden Order,Healing,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Golden Order Principia for 10,000 Runes.",0
Lightning Fortification,"Incantation of the Two Fingers' faithful. Increases lightning damage negation. This incantation can be cast while in motion. Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me the Lands Between offers no welcome to the Tarnished.",Increase lightning damage negation,1,13,Two Fingers,Buff,"Sold by Brother Corhyn for 7,500 Runes after he moves to Altus Plateau.",0
Lightning Spear,"One of the incantations of the capital's ancient dragon cult. Summons a lightning spear and hurls it before the caster.Charging causes a lightning bolt to strike the point of impact.Long ago, Godwyn the Golden defeated the ancient dragon Fortissax, and befriended his fallen foe an event that gave rise to the ancient dragon cult in the capital. NOTE:",Hurls lightning spear before caster,1,28,Dragon Cult,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Dragon Cult Prayerbook for 6,000 Runes.",0
Lightning Strike,"One of the incantations of the capital's ancient dragon cult. Summons a bolt of lightning that scatters and spreads around the surrounding area.This incantation can be cast repeatedly. Ancestors of the modern dragons, the ancient dragons had scales of Gravel Stone and wielded lightning as their weapon. It is said that they once attacked Leyndell, the Royal Capital. NOTE:",Summons lightning bolt that spreads from impact,1,37,Dragon Cult,Damage,Weeping Peninsula: Dropped by a Teardrop Scarab,0
Litany of Proper Death,"One of the incantations of the Golden Order fundamentalists. Used by hunters of Those Who Live in Death. Creates an image of Order, dealing holy damage to nearby foes. This incantation is especially damaging to Those Who Live in Death. Any felled by this incantation cannot be revived. The role of the hunters is to stamp out defiled reason all for the perfection of the Golden Order.",Creates image of Order to deal holy damage,1,28,Golden Order,Damage,"Can be purchased from D, Hunter of The Dead for 2,500 RunesCan be purchased from Twin Maiden Husks at the Roundtable Hold after giving them D's Bell Bearing",0
Lord's Aid,"Incantation bestowed by the Two Fingers upon the Tarnished deemed worthy of becoming a lord. Alleviates buildup of poison, blood loss, and sleep for the caster and nearby allies. Additionally, cures poison. Hold to continue praying and delay activation.",Alleviates poison/ blood loss/ sleep buildup for self/ allies,1,10,Two Fingers,Healing,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Two Fingers' Prayerbook for 2,500 Runes.",0
Lord's Divine Fortification,"Incantation taught to Gideon the All-Knowing by the Two Fingers. Greatly increases holy damage negation for the caster and nearby allies. Hold to continue praying and delay activation. Gideon gained true knowledge after his long exchange with the Two Fingers - discovering all had been broken long ago; that the trembling fingers, bent with age, and the Erdtree itself, were no exception.",Greatly increases holy damage negation incl. allies,1,20,Two Fingers,Buff,"Received from Gideon Ofnir after defeating Malenia, Blade of Miquella.Purchasable at Twin Maiden Husks after defeating Maliketh, the Black Blade.",0
Lord's Heal,"Incantation bestowed by the Two Fingers upon the Tarnished deemed worthy of becoming a lord. Heals a massive amount of HP for the caster and nearby allies. Hold to continue praying and delay activation. Tarnished - O, Tarnished! Seek the Erdtree and stand before Marika, its Queen. Become the Elden Lord!",Massively heals HP for self and nearby allies,1,45,Two Fingers,Healing,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Two Fingers' Prayerbook for 8,000 Runes.",0
Magic Fortification,"Incantation of the Two Fingers' faithful. Increases magic damage negation.This incantation can be cast while in motion. Follow the path that has been set for you, and you will make enemies of all others: the monks, the sorcerers, the ancient dragon knights, and the scions of gold. Heed me the Lands Between offers no welcome to the Tarnished.",Increases magic damage negation,1,13,Two Fingers,Buff,"Can be purchased from Brother Corhyn for 3,500 Runes.",0
Magma Breath,"One of the incantations of Dragon Communion. Transforms caster into a wyrm to spew magma breath. Allows one follow-up attack. Those who have performed the Dragon Communion will find their humanity slowly slipping away. Once they fully succumb to their fate, they are left no more than wyrms that crawl the earth.",Channels wyrm to spew magma breath,1,40,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion for 1 Dragon Heart after killing the Magma Wyrm located southwest of the Seethewater Terminus grace in Mt. Gelmir.,0
Noble Presence,"Ancient power of the Godskin Nobles. Thrust out belly with gusto to produce a shockwave that knocks back nearby foes. Charging enhances potency, knocking enemies into the air. Once a sign of the gods' wrath, this incantation became a trophy of the Nobles' god hunt.",Thrust out belly with gusto to unleash repelling shockwave,1,28,Godskin Apostle,Damage,Acquired from defeating the Godskin Noble at the Volcano Manor,0
"O, Flame!","Incantation of the Fire Monks. Momentarily sparks roaring flame from the caster's hand.Charging enhances potency. The Giants' Flame still smolders upon the distant northernmountaintop, and the Fire Monks are its guardians.",Momentarily sparks roaring flame from hand,1,24,Fire Monk,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving the Fire Monks' Prayerbook for 6,000 Runes.",0
Order Healing,"One of the incantations of the Golden Order fundamentalists. Used by hunters of Those Who Live in Death. Alleviates death blight buildup. The noble Goldmask lamented what had become of the hunters. How easy it is for learning and learnedness to be reduced to the ravings of fanatics; all the good and the great wanted, in their foolishness, was an absolute evil to contend with. Does such a notion exist in the fundamentals of Order?",Alleviates death blight buildup,1,10,Golden Order,Healing,Dropped by a Teardrop Scarab found in the Siofra Aqueduct.,0
Order's Blade,One of the incantations of the Golden Order fundamentalists. Used by hunters of Those Who Live in Death. Enchants armament held in the right hand with holy-affinity attacks. This incantation is especially damaging to Those Who Live in Death. Any felled by this incantation cannot be revived. The role of the hunters is to stamp out defiled reason - all for the perfection of the Golden Order.,Enchants right-hand armament with holy damage,1,10,Golden Order,Buff,"Can be purchased from D, Hunter of The Dead for 3,000 Runes.Can be purchased from Twin Maiden Husks at the Roundtable Hold after giving them D's Bell Bearing",0
Pest Threads,"Incantation of the servants of rot. Secretes countless sticky threads, launching them forwards. A technique of the pale pests who crawl through the lands afflicted by scarlet rot; the abandoned children of the goddess. ""Do you have an interest in rot incantations?""",Launches countless sticky threads before caster,1,35,Servants of Rot,Damage,"Can be purchased from Gowry after progressing in Millicent's questline for 7,500 Runes.",0
Placidusax's Ruin,Power gleaned form the remembrance of Dragonlord Placidusax. Transforms caster into the Dragonlord to spew golden breath from above. This incantation can be cast while jumping. These are the dying wails of the Dragonlord who once dwelled eternal beyond time.,Spews golden breath of Dragonlord Placidusax,3,75,No,Damage,Trade Remembrance of the Dragonlord with Enia at Roundtable Hold.,0
Poison Armament,"Incantation of the servants of rot. Enchants armament held in the right hand with poison.This incantation can be cast while in motion. Those who dwell within poison know rot all too well. The death that begets life, that comes to all equally. That is to say: it is the cycle of rebirth put into practice. NOTE:",Enchants right-hand armament with poison,1,10,Servants of Rot,Buff,"Dropped by an invisible scarab beetle on the northeastern shore of the Aeonia Swamp in Caelid, just northwest of Sellia, Town of Sorcery.",0
Poison Mist,"Incantation of the servants of rot. Releases a poisonous mist before the caster.This incantation can be cast while in motion. Those who dwell within poison know rot all too well. The death that begets life, that comes to all equally. That is to say: it is the cycle of rebirth put into practice.",Releases poison mist before caster,1,10,Servants of Rot,Damage,Weeping Peninsula: Dropped by a Teardrop Scarab in a forested area southeast of the Castle Morne Rampart Site of Grace.,0
Protection of the Erdtree,"A superior incantation of Erdtree Worship. Increase damage negation for all affinities except physical, for both the caster and nearby allies.Hold to continue praying and delay activation. In the beginning, everything was in opposition to the Erdtree. But through countless victories in war, it became the embodiment of Order.",Increases affinity damage negation for self & allies,1,50,Erdtree,Buff,"Dropped by an incantation scarab found on a stone platform slightly east of Goldmask's first location, in Altus Plateau.",0
Radagon's Rings of Light,"One of the incantations of the Golden Order fundamentalists. A gift of gratitude to the young Miquella from his father, Radagon. Produces a golden ring of light and fires it across a wide area. Charging enhances range. And yet, the young Miquella abandoned fundamentalism, for it could do nothing to treat Malenia's accursed rot. This was the beginning of unalloyed gold. Notes:",Creates golden ring of light to attack wide area,1,37,Golden Order,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Golden Order Principia for 7,500 Runes.",0
Rejection,"Incantation of the Two Fingers' faithful. Produces a shockwave that knocks back nearby foes. Charging increases the size of the shockwave. Hark, Tarnished! If you truly walk in faith, you must be prepared to reject all else. NOTE:",Produces a shockwave that pushes away foes.,1,24,Two Fingers,Utility,"Can be purchased from Brother Corhyn at the Roundtable Hold for 1,500 Runes.",0
Rotten Breath,One of the incantations of Dragon Communion. Transforms caster into a dragon to spew scarlet rot breath.Charging extends duration. Those extraordinary individuals who perpetuate DragonCommunion are called the dragon-hearted. NOTE,Channels dragon to spew scarlet rot breath,1,48,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion for 1 Dragon Heart,0
Scarlet Aeonia,"Technique of Malenia, the Goddess of Rot. Creates a gigantic flower that blooms into an explosion of scarlet rot. Each time the scarlet flower blooms, Malenia's rot advances. It has bloomed twice already. With the third bloom, she will become a rue goddess.",Creates a giant flower that explodes with scarlet rot,3,50,Servants of Rot,Damage,Trade Remembrance of the Rot Goddess with Enia at Roundtable Hold.,0
Scouring Black Flame,"A black flame incantation of the Godskin Apostles.Sweeps a wide area before the caster with black flame.Charging enhances range.The black flame could once slay gods. But when Maliketh sealed Destined Death, the true power of the black flame was lost. Notes:",Sweeps area before caster with black flame,1,36,Godslayer,Damage,Dropped by Godskin Apostle.,0
Shadow Bait,"Incantation of the Two Fingers' servants, who once served as the assassins of the Roundtable Hold. Creates a pale gold shadow before the caster, luring foes of human build and attracting their aggression. This incantation can be cast while in motion or crouching, and will still affect foes that are already in a combat state. It is said that those beguiled by the shadow see within it a hated foe. (this list is not exhaustive, feel free to contribute)",Creates shadow that lures the aggression of foes of human build,1,14,Two Fingers,Utility,"Can be found on a corpse at Subterranean Shunning-Grounds, after going through the pipe room to a room with the corpse sitting at the center, next to a not very well hidden Ogre ready to strike.",0
Smarag's Glintstone Breath,"Superior incantation of Dragon Communion. Channels the power of Smarag, the Glintstone Dragon. Transforms caster into a dragon to spew magic breath from above. Charging extends duration. This incantation can be used while jumping. Smarag was a devourer of sorcerers, and over time, his body became corrupted by their glintstones.",Spews magic breath of Glintstone Dragon Smarag from above,1,60,Dragon Communion,Damage,Can be purchased at the Dragon Communion Altar at the Cathedral of Dragon Communion in Caelid for 2 Dragon Hearts. Glintstone Dragon Smarag must first be defeated in order to unlock this Incantation.,0
Stone of Gurranq,"Superior incantation taught by Gurranq, the Beast Clergyman. Hurls a boulder before the caster. This incantation can be cast repeatedly. Long ago, Gurranq was a beast of such terrifying ferocity that his former name meant ""Death of the Demigods."" Note:",Hurls a boulder before the caster,1,37,Bestial,Damage,"Bestial Sanctum: Reward from Gurranq, Beast Clergyman after giving him the sixth Deathroot. Map Link.",0
"Surge, O Flame!","Superior incantation of the Fire Monks. Creates a stream of fire to burn the area before the caster.This incantation can be cast while in motion. Hold to maintainthe effect. The Giants' Flame is the flame of ruin, capable of burning theErdtree. And so, following the War against the Giants, its ruinousblaze was sealed, and guardians were appointed to watch over it.",Incinerates area before caster with stream of fire,1,2,Fire Monk,Damage,"Purchase from Brother Corhyn or Miriel, Pastor of Vows after giving either the Fire Monks' Prayerbook for 5,500 Runes.",0
Swarm of Flies,"A Blood Oath incantation, shared from the Lord of Blood's power. Releases a swarm of bloodflies before the caster to assault foes. The vile swarm deals damage and builds up onset of blood loss. This incantation can be cast while in motion. The new palace of the Lord of Blood lies in a swamp of festering blood, and these flies are said to spawn from excrement in that land.",Releases a swarm of bloodflies before caster,1,24,Blood,Damage,"Found on a corpse along the east wall of the Mohgwyn Palace blood marsh, directly north from the Palace Approach Ledge-Road Site of Grace.",0
The Flame of Frenzy,"Incantation originating from the maddening Three Fingers. Causes the yellow flame of frenzy to burst forth from the caster's eyes. Charging increases the range of the burst. The flame of frenzy deals damage and causes buildup of madness. This incantation also causes buildup of madness in the caster, and is only effective against Tarnished.",Emits burst of yellow flame of frenzy from eyes,1,30,Frenzied Flame,Damage,Callu Baptismal Church in the Weeping Peninsula. Found on a corpse by a pillar on the left side of the church. [Map Link],0
Theodorix's Magma,Superior incantation of Dragon Communion. Channels the power of the great wyrm Theodorix. Transforms caster into a great wyrm to spew a large volume of magma breath. Allows one follow-up attack. The name of the ancient troll warrior Theodorix lives on as a hero of the War against the Giants.,Spews magma breath of Theodorix from above,1,60,Dragon Communion,Damage,Dropped by Great Wyrm Theodorix,0
Triple Rings of Light,"One of the incantations of the Golden Order fundamentalists. Produces three rings of light and fires them forwards. The rings of light return to a position close to the caster before disappearing. This incantation can be cast repeatedly. A gift from the young Miquella to his father, Radagon.",Fire three rings of light before the caster,1,28,Golden Order,Damage,"Elphael, Brace of The Haligtree: From the Prayer Room grace, head out onto the northeastern walkway and drop down one level by using the roofs on the right. There is a sealed treasure room just under the Prayer Room that requires one Stonesword Key to unlock. The chest containing the spell is inside.",0
Unendurable Frenzy,Incantation originating from the maddening Three Fingers. Causes the yellow flame of frenzy to violently burst forth from the caster's eyes. Hold to continue channeling the flame. This incantation can be used while in motion. It is the maddening pain and unstoppable tears of those afflicted with the flame of frenzy brought into being. Note:,Emits violent burst of yellow flame of frenzy from eyes,1,40,Frenzied Flame,Damage,Yelough Anix Ruins: Found in a chest in an underground treasure room in the central section of the ruins. Its entrance is in a door-less building that you must jump to from the larger ruined church building.,0
Urgent Heal,"Incantation of the Two Fingers' faithful. Heals a small amount of HP. This incantation can be cast while in motion. The Two Fingers has high hopes for the Tarnished; that even if they should be wounded, even should they fall, they will continue to fight for their duty.",Heals a small amount of HP,1,30,Two Fingers,Healing,"Starting equipment for the Confessor ClassPurchased from Brother Corhyn for 1,000 Runes.",0
Vyke's Dragonbolt,"Incantation of Vyke, knight of the Roundtable Hold. Summons red lightning to bolster both the caster's body and their armament held in the right hand. Enchants armaments with lightning-affinity attacks and increases maximum equipment load. However, lightning damage negation will be reduced. Of all the knights, Vyke the Dragonspear was the one Lansseax loved the most.",Bolsters right-hand armament & body with red lightning,1,20,Dragon Cult,Buff,"Received after defeating Vyke, Knight of the roundtable at Lord Contender's Evergaol.",0
"Whirl, O Flame!",Superior Incantation of the Fire Monks. Creates a spiraling stream of fire that burns the area before the caster. Charging enhances potency and reach. Fire beguiles those who gaze into it. And so the guardians of the flame are also its worshippers. Note:,Sweeps area before caster with stream of fire,1,26,Fire Monk,Damage,Dropped from a Teardrop Scarab on the road between Rotview Balcony and Caelem Ruins next to the wagon.,0
Wrath of Gold,"Superior Erdtree Worship incantation.Produces a golden shockwave that knocks back nearby foes.Charging increases the size of the shockwave.This incantation was discovered when the Elden Ring was shattered, and it was feared as a sign of the Erdtree's wrath. NOTE:",Produces golden shockwave that knocks back foes,1,44,Erdtree,Damage,"Found at Woodfolk Ruins. Among the enemies, there is a staircase that goes down and leads to a chest that contains this incantation. [Map Link]",0
